Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
1/7/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
2/7/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
3/7/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
4/7/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
5/7/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
6/7/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/7/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
8/7/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
9/7/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
10/7/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
11/7/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
12/7/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/13/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/14/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/15/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/16/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/17/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/18/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/19/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/20/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/21/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/22/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/23/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/24/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/25/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/26/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/27/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/28/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/29/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/30/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
7/31/2010,24,29.6,25.8,89,0,0.3,5,180,2,N 
1/8/2010,22,26,24.3,95,0,0,3,360,1,SE
2/8/2010,22,29,25.4,88,2.2,0,3,360,1,N 
3/8/2010,23,29,26,84,13,0.6,5,180,2,S 
4/8/2010,23,29.2,25.9,87,25.8,0,4,180,2,SW
5/8/2010,23,29,25.3,89,4.2,0.4,6,135,2,S 
6/8/2010,23,30,24.9,91,77.6,0,4,135,2,S 
7/8/2010,23,28.4,24.6,91,15.4,0.1,3,135,0,S 
8/8/2010,23,27.4,24.9,92,6.6,0.1,10,180,3,S 
9/8/2010,23,28.8,25.3,91,0,0.1,5,180,2,S 
10/8/2010,23,29,24.5,94,11,0,6,360,2,N 
11/8/2010,24,29,25,89,6.4,0.6,6,360,2,N 
12/8/2010,23,29.6,24.7,90,14.9,0.7,5,180,3,N 
8/13/2010,23,28.6,25.5,89,4,0.5,4,180,2,N 
8/14/2010,24,29.2,26.1,88,0,0.5,8,180,3,SW
8/15/2010,23,29.4,27.2,78,1.3,0.2,6,180,2,S 
8/16/2010,23,29,26.2,88,73.4,0,4,180,2,N 
8/17/2010,20,27.4,24.9,92,6.5,0.1,4,180,1,S 
8/18/2010,24,27.8,25,97,14.7,0.2,4,135,2,N 
8/19/2010,25,29.8,26.1,87,2.8,0.4,5,180,2,N 
8/20/2010,24,29.4,26.2,87,6.4,0.3,5,180,2,S 
8/21/2010,22,29,25.9,88,1.8,0,6,180,3,S 
8/22/2010,23,30.2,25.1,89,3.4,0,5,180,2,SW
8/23/2010,24,29.6,25.4,88,80.9,0.1,5,180,2,SW
8/24/2010,19,27.2,24.8,96,39.2,0.2,6,180,1,S 
8/25/2010,23,28.4,24.8,93,6.9,0.4,6,180,2,S 
8/26/2010,23,29.6,24.8,93,0,0.5,5,180,3,S 
8/27/2010,22,29.6,25.1,91,5.1,0.6,6,180,4,S 
8/28/2010,23,29.2,24.7,90,0.6,0.2,4,180,2,S 
8/29/2010,23,29.2,24.9,90,37.3,0.4,6,360,2,S 
8/30/2010,22,29,25,90,4.6,0.5,8,360,3,N 
8/31/2010,22,29.6,25.1,88,27.1,0.6,4,360,2,N 
