Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
19-05-2010,25,30,25.8,95,43.4,0.2,5,180,3,N 
20-05-2010,24,30.4,26.6,98,0,0.3,5,180,2,N 
21-05-2010,24,30.4,26.7,91,48.8,0.4,4,180,2,S 
22-05-2010,24,30.8,27.1,86,9.2,0.3,5,180,2,SW
23-05-2010,24,29.8,25.8,95,5.1,0.2,5,360,2,N 
24-05-2010,25,29.6,26.1,92,4,0.4,3,360,2,N 
25-05-2010,24,30.2,26.6,90,13,0.6,4,180,2,S 
26-05-2010,24,30.2,26.1,91,0.7,0.7,5,180,3,S 
27-05-2010,24,29.6,26.5,90,14.5,0.2,3,180,2,N 
28-05-2010,25,29.6,25.6,89,0.5,0.4,8,360,4,N 
29-05-2010,24,29.6,26.5,90,0,0.6,5,180,4,S 
30-05-2010,24,30.6,26.6,84,0,0.7,4,180,2,S 
31-05-2010,23,29.4,26.3,88,0,0,4,180,2,N 
01-06-2010,24,30.6,25.8,91,3.2,0.4,6,360,3,
02-06-2010,24,30,26.2,90,14.1,0.2,8,270,3,
03-06-2010,24,29.6,26.3,92,115.4,0.2,6,180,2,
04-06-2010,24,29.2,25.7,92,17.7,0.2,5,180,3,
05-06-2010,23,27.6,24.3,,15.9,0.2,6,180,4,
06-06-2010,23,29.4,25.4,91,0,0.6,4,180,3,
07-06-2010,23,30,25.8,89,11.5,0.7,4,180,3,
08-06-2010,25,30.2,25.4,90,19,0.5,6,180,3,
09-06-2010,19,26.8,25.7,91,2,0,8,360,3,
10-06-2010,23,30,25.3,92,6,0.6,5,180,2,
11-06-2010,24,29.6,25.9,87,0.2,0.3,5,360,2,
12-06-2010,24,28.8,26.5,88,10.5,0.1,3,180,2,
13-06-2010,23,28.2,25.4,94,20.2,0.2,4,180,2,
14-06-2010,24,29.6,25.2,90,0.3,0.6,4,180,2,
15-06-2010,20,29.2,25.6,91,10.1,0.3,8,180,3,
16-06-2010,24,29,26.2,88,12.4,0.4,8,180,3,
17-06-2010,23,29.4,25.8,90,1,0.5,5,180,3,
18-06-2010,24,29.4,24.9,92,5.2,0.2,13,180,3,
19-06-2010,22,25.8,24.9,90,0,0,8,360,3,
20-06-2010,23,29.2,25.5,84,0,0.2,5,180,2,
21-06-2010,23,28.2,25.1,89,83.4,0.1,5,180,3,
22-06-2010,23,27.4,24.8,90,0.8,0,4,360,1,
23-06-2010,23,29.4,25.1,90,0,0.4,4,180,2,
24-06-2010,23,29.2,25.1,88,0,0.6,5,180,3,
25-06-2010,24,30,25,89,0.4,0.6,7,180,3,
26-06-2010,23,29,25.6,90,8.2,0.3,5,180,3,
27-06-2010,22,29.6,24.9,93,23.2,0.2,8,180,3,
28-06-2010,22,27.2,24.2,96,0,0.1,8,360,3,
29-06-2010,24,29.2,25.1,86,0,0.6,4,180,2,
30-06-2010,24,29.6,25.8,89,0,0.3,5,180,2,
01-07-2010,,,,,,,,,,
02-07-2010,,,,,,,,,,
03-07-2010,,,,,,,,,,
04-07-2010,,,,,,,,,,
05-07-2010,,,,,,,,,,
06-07-2010,,,,,,,,,,
07-07-2010,,,,,,,,,,
08-07-2010,,,,,,,,,,
09-07-2010,,,,,,,,,,
10-07-2010,,,,,,,,,,
11-07-2010,,,,,,,,,,
12-07-2010,,,,,,,,,,
13-07-2010,,,,,,,,,,
14-07-2010,,,,,,,,,,
15-07-2010,,,,,,,,,,
16-07-2010,,,,,,,,,,
17-07-2010,,,,,,,,,,
18-07-2010,,,,,,,,,,
19-07-2010,,,,,,,,,,
20-07-2010,,,,,,,,,,
21-07-2010,,,,,,,,,,
22-07-2010,,,,,,,,,,
23-07-2010,,,,,,,,,,
