Actual,Predicted
0.0,23.00426
2.2,13.890393
13.0,8.452282
25.8,11.514614
4.2,13.529119
77.6,15.627355
15.4,17.116243
6.6,17.068663
0.0,15.947581
11.0,20.097786
6.4,14.259996
14.9,14.26542
4.0,13.783245
0.0,11.686655
1.3,2.5970216
73.4,12.508458
6.5,18.511372
14.7,23.003832
2.8,10.839863
6.4,11.105204
1.8,12.288472
3.4,13.410748
80.9,12.341538
39.2,23.154953
6.9,18.306519
0.0,17.500107
5.1,14.940006
0.6,14.951321
37.3,15.434155
4.6,15.190895
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274437
27.1,13.274437
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
0.6,11.719492
0.9,15.249886
17.4,15.324109
1.0,15.513612
3.4,10.227629
22.8,9.927208
2.4,15.930692
3.0,14.668424
4.0,9.788479
25.8,20.193737
0.0,6.570204
0.3,11.559388
0.3,12.28844
0.0,4.9882765
0.0,3.117866
0.0,0.06727645
0.0,4.4281187
0.0,3.1899889
1.6,2.4297447
4.2,11.638125
28.0,11.448491
0.0,3.640246
18.8,5.9932075
8.6,13.459307
15.0,9.267928
0.0,7.472817
37.3,7.813847
8.2,15.538595
2.2,9.838901
2.8,12.873838
0.2,7.7300577
0.0,3.9853783
2.0,7.187736
52.2,16.757517
0.0,4.4355197
0.0,16.63909
0.0,8.300419
18.6,11.47998
0.0,5.9649515
0.0,8.964382
0.5,8.100467
18.4,5.3941298
40.8,10.972288
4.2,13.141183
0.8,13.369637
0.0,18.266874
13.6,20.314234
0.0,17.113235
21.8,10.295088
0.0,7.8591695
0.0,8.456726
0.0,11.626807
30.0,17.151443
5.2,11.988947
0.0,8.005775
0.0,6.994169
0.0,9.725195
0.0,13.959785
0.0,18.365988
1.8,11.877468
1.5,6.9470534
1.6,11.032244
0.0,3.4908936
3.8,9.049291
40.0,5.353955
10.8,15.576512
10.0,5.2305646
23.6,16.115196
7.0,18.427618
2.5,7.11454
0.1,7.549905
3.0,12.485085
20.5,2.3581357
0.0,2.8769994
1.4,3.1175659
1.5,10.643563
0.5,9.529047
0.0,6.405589
0.2,10.83033
61.5,11.627312
15.2,3.5365956
6.4,9.822446
0.1,8.950301
8.9,4.560747
51.0,16.170847
4.3,16.017982
27.6,18.349245
0.0,8.750008
3.0,9.682976
4.3,19.082306
15.4,9.217422
48.3,15.577175
18.8,22.229433
2.5,3.6070447
0.0,4.8800898
0.0,6.640863
0.0,3.2174866
5.6,6.249782
12.0,16.340294
0.0,6.1032243
8.0,10.161977
0.0,6.5881834
0.0,10.204093
30.8,8.381204
51.5,19.846548
2.0,2.2217996
26.1,15.328715
0.0,13.804314
28.5,18.129421
0.0,5.2298985
0.4,3.0054045
0.0,3.4657965
0.0,16.459724
9.6,15.118709
0.0,9.533646
0.0,8.486146
20.2,6.500675
3.3,15.489457
5.5,8.800989
0.0,0.7493591
15.3,19.303448
2.5,12.144201
4.0,11.325653
0.0,0.89355475
41.6,9.301517
0.0,12.705916
3.0,12.429897
0.0,5.986753
37.4,10.825487
70.7,13.626543
